Sr. No.,Structure Name/Gate No,Division,Circle,Zone,Inspection Year,Inspection Type,Issue/Problem,Recommendation,"Rectification/
Action Taken",Condition,Domain,Latitude ,Longitude,Inspection Type Inspection Year
1346,Barrage Gate No. 3,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.343604,71.0236453,Closure 2023-2024
1347,Barrage Gate No. 4,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.343727,71.0234804,Closure 2023-2024
1348,Barrage Gate No. 5,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.343879,71.0233128,Closure 2023-2024
1349,Barrage Gate No. 6,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.34401,71.0231274,Closure 2023-2024
1350,Barrage Gate No. 7,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.344128,71.0229877,Closure 2023-2024
1351,Barrage Gate No. 8,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.34426,71.0228315,Closure 2023-2024
1352,Barrage Gate No. 9,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,Oil leakage was observed in the gear box.,Oil leakage from the gear box of hoist machine should be addressed.,,Fair,Mechanical,29.344377,71.0226818,Closure 2023-2024
1353,Barrage Gate No. 10,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.344515,71.0225232,Closure 2023-2024
1354,Barrage Gate No. 11,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.344629,71.0223816,Closure 2023-2024
1355,Barrage Gate No. 12,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.344755,71.0222311,Closure 2023-2024
1356,Barrage Gate No. 13,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,Oil leakage was observed in the gear box.,Oil leakage from the gear box of hoist machine should be addressed.,,Fair,Mechanical,29.344886,71.0220718,Closure 2023-2024
1357,Barrage Gate No. 14,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.345019,71.021911,Closure 2023-2024
1358,Barrage Gate No. 15,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,Oil leakage was observed in the gear box.,Oil leakage from the gear box of hoist machine should be addressed.,,Fair,Mechanical,29.345157,71.0217646,Closure 2023-2024
1359,Barrage Gate No. 16,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,Oil leakage was observed in the gear box.,Oil leakage from the gear box of hoist machine should be addressed.,,Fair,Mechanical,29.345256,71.0216132,Closure 2023-2024
1360,Barrage Gate No. 17,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.345409,71.0214442,Closure 2023-2024
1361,Barrage Gate No. 18,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.345535,71.0212902,Closure 2023-2024
1362,Barrage Gate No. 19,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.345662,71.0211288,Closure 2023-2024
1363,Barrage Gate No. 20,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.345788,71.0209943,Closure 2023-2024
1364,Barrage Gate No. 21,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.345895,71.0208506,Closure 2023-2024
1365,Barrage Gate No. 22,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.346022,71.0207004,Closure 2023-2024
1366,Barrage Gate No. 23,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.346141,71.0205379,Closure 2023-2024
1367,Barrage Gate No. 24,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.346274,71.0203868,Closure 2023-2024
1368,Barrage Gate No. 25,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.346406,71.020224,Closure 2023-2024
1369,Barrage Gate No. 26,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.346524,71.0200792,Closure 2023-2024
1370,Barrage Gate No. 27,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.346659,71.0199252,Closure 2023-2024
1371,Barrage Gate No. 28,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.346791,71.0197643,Closure 2023-2024
1372,Barrage Gate No. 29,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.346905,71.0196209,Closure 2023-2024
1373,Barrage Gate No. 30,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.347039,71.0194577,Closure 2023-2024
1374,Barrage Gate No. 31,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.347154,71.0193084,Closure 2023-2024
1375,Barrage Gate No. 32,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.347293,71.0191581,Closure 2023-2024
1376,Barrage Gate No. 33,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.347411,71.0190145,Closure 2023-2024
1377,Barrage Gate No. 34,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.347597,71.0188127,Closure 2023-2024
1378,Barrage Gate No. 35,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.347717,71.0186766,Closure 2023-2024
1379,Barrage Gate No. 36,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,Oil leakage was observed in the gear box.,Oil leakage from the gear box of hoist machine should be addressed.,,Fair,Mechanical,29.347858,71.0185053,Closure 2023-2024
1380,Barrage Gate No. 37,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.348008,71.0183197,Closure 2023-2024
1381,Barrage Gate No. 38,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.348124,71.0181455,Closure 2023-2024
1382,Barrage Gate No. 39,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.348246,71.0179908,Closure 2023-2024
1383,Barrage Gate No. 40,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.348362,71.0178448,Closure 2023-2024
1384,Barrage Gate No. 41,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.348512,71.0176668,Closure 2023-2024
1385,Barrage Gate No. 42,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.348618,71.0175335,Closure 2023-2024
1386,Barrage Gate No. 43,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.348737,71.0173915,Closure 2023-2024
1387,Barrage Gate No. 44,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.348886,71.0172141,Closure 2023-2024
1388,Barrage Gate No. 45,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.349009,71.0170651,Closure 2023-2024
1389,Barrage Gate No. 46,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.349138,71.0169037,Closure 2023-2024
1390,Barrage Gate No. 47,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.349257,71.0167578,Closure 2023-2024
1391,Barrage Gate No. 48,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.349381,71.0166041,Closure 2023-2024
1392,Barrage Gate No. 49,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.349511,71.0164454,Closure 2023-2024
1393,Barrage Gate No. 50,Panjnad Headworks Division,Panjnad Canal Circle,Bahawalpur,2023-2024,Closure,,,,Satisfactory,Mechanical,29.34964,71.0162961,Closure 2023-2024
1394,TP Link Canal Gate No. 1,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil pump in the gear box was nonfunctional.,Oil pump in the gear box should be repaired/replaced.,,Poor,Mechanical,30.51451,70.85641,Closure 2023-2024
1395,TP Link Canal Gate No. 1,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.51451,70.85641,Closure 2023-2024
1396,TP Link Canal Gate No. 1,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Abnormal sound was observed in the reducer box,Abnormal sound observed in the reducer box should be investigated and consequent repair / overhaul may be recommended accordingly to address the abnormal sound.,,Fair,Mechanical,30.51451,70.85641,Closure 2023-2024
1397,TP Link Canal Gate No. 2,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil pump in the gear box was nonfunctional.,Oil pump in the gear box should be repaired/replaced.,,Poor,Mechanical,30.51457,70.8564,Closure 2023-2024
1398,TP Link Canal Gate No. 2,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.51457,70.8564,Closure 2023-2024
1399,TP Link Canal Gate No. 2,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Abnormal sound was observed in the reducer box,Abnormal sound observed in the reducer box should be investigated and consequent repair / overhaul may be recommended accordingly to address the abnormal sound.,,Fair,Mechanical,30.51457,70.8564,Closure 2023-2024
1400,TP Link Canal Gate No. 3,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil pump in the gear box was nonfunctional.,Oil pump in the gear box should be repaired/replaced.,,Poor,Mechanical,30.51464,70.85639,Closure 2023-2024
1401,TP Link Canal Gate No. 3,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.51464,70.85639,Closure 2023-2024
1402,TP Link Canal Gate No. 3,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Abnormal sound was observed in the reducer box,Abnormal sound observed in the reducer box should be investigated and consequent repair / overhaul may be recommended accordingly to address the abnormal sound.,,Fair,Mechanical,30.51464,70.85639,Closure 2023-2024
1403,TP Link Canal Gate No. 4,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil pump in the gear box was nonfunctional.,Oil pump in the gear box should be repaired/replaced.,,Poor,Mechanical,30.51472,70.85638,Closure 2023-2024
1404,TP Link Canal Gate No. 4,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.51472,70.85638,Closure 2023-2024
1405,TP Link Canal Gate No. 4,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Abnormal sound was observed in the reducer box,Abnormal sound observed in the reducer box should be investigated and consequent repair / overhaul may be recommended accordingly to address the abnormal sound.,,Fair,Mechanical,30.51472,70.85638,Closure 2023-2024
1406,TP Link Canal Gate No. 5,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil pump in the gear box was nonfunctional.,Oil pump in the gear box should be repaired/replaced.,,Poor,Mechanical,30.5148,70.85635,Closure 2023-2024
1407,TP Link Canal Gate No. 5,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.5148,70.85635,Closure 2023-2024
1408,TP Link Canal Gate No. 5,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Abnormal sound was observed in the reducer box,Abnormal sound observed in the reducer box should be investigated and consequent repair / overhaul may be recommended accordingly to address the abnormal sound.,,Fair,Mechanical,30.5148,70.85635,Closure 2023-2024
1409,TP Link Canal Gate No. 6,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil pump in the gear box was nonfunctional.,Oil pump in the gear box should be repaired/replaced.,,Poor,Mechanical,30.51492,70.85633,Closure 2023-2024
1410,TP Link Canal Gate No. 6,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.51492,70.85633,Closure 2023-2024
1411,TP Link Canal Gate No. 6,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Abnormal sound was observed in the reducer box,Abnormal sound observed in the reducer box should be investigated and consequent repair / overhaul may be recommended accordingly to address the abnormal sound.,,Fair,Mechanical,30.51492,70.85633,Closure 2023-2024
1412,TP Link Canal Gate No. 7,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil pump in the gear box was nonfunctional.,Oil pump in the gear box should be repaired/replaced.,,Poor,Mechanical,30.51498,70.85632,Closure 2023-2024
1413,TP Link Canal Gate No. 7,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.51498,70.85632,Closure 2023-2024
1414,TP Link Canal Gate No. 7,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Abnormal sound was observed in the reducer box,Abnormal sound observed in the reducer box should be investigated and consequent repair / overhaul may be recommended accordingly to address the abnormal sound.,,Fair,Mechanical,30.51498,70.85632,Closure 2023-2024
1415,Muzaffargarh Canal Gate No. 1,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.514085,70.8564668,Closure 2023-2024
1416,Muzaffargarh Canal Gate No. 2,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.514154,70.8564541,Closure 2023-2024
1417,Muzaffargarh Canal Gate No. 3,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.514237,70.8564381,Closure 2023-2024
1418,Muzaffargarh Canal Gate No. 4,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.51431,70.8564234,Closure 2023-2024
1419,Muzaffargarh Canal Gate No. 5,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.51439,70.8564075,Closure 2023-2024
1420,DG Khan Canal Gate No. 1,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.512178,70.8427333,Closure 2023-2024
1421,DG Khan Canal Gate No. 2,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.512244,70.8427175,Closure 2023-2024
1422,DG Khan Canal Gate No. 3,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.512321,70.8426991,Closure 2023-2024
1423,DG Khan Canal Gate No. 4,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.512403,70.842681,Closure 2023-2024
1424,DG Khan Canal Gate No. 5,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.512476,70.8426668,Closure 2023-2024
1425,DG Khan Canal Gate No. 6,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.512558,70.8426531,Closure 2023-2024
1426,DG Khan Canal Gate No. 7,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.512639,70.8426391,Closure 2023-2024
1427,Barrage Gate No. 1,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513938,70.8563394,Closure 2023-2024
1428,Barrage Gate No. 2,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513903,70.8561186,Closure 2023-2024
1429,Barrage Gate No. 3,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513869,70.8559002,Closure 2023-2024
1430,Barrage Gate No. 4,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513843,70.8557172,Closure 2023-2024
1431,Barrage Gate No. 5,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.51381,70.8554891,Closure 2023-2024
1432,Barrage Gate No. 6,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.513783,70.8552986,Closure 2023-2024
1433,Barrage Gate No. 7,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513748,70.855087,Closure 2023-2024
1434,Nevigation Lock Barrage Gate No. 8,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Bottom portion of rocker assembly on both sides of u/s navigation lock at barrage was missing.,Damaged rocker assembly of u/s navigation lock on barrage should be addressed.,,Poor,Mechanical,30.51373,70.8549262,Closure 2023-2024
1435,Barrage Gate No. 9,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513705,70.8547251,Closure 2023-2024
1436,Barrage Gate No. 10,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513669,70.8544832,Closure 2023-2024
1437,Barrage Gate No. 11,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513651,70.8543108,Closure 2023-2024
1438,Barrage Gate No. 12,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.51362,70.8541068,Closure 2023-2024
1439,Barrage Gate No. 13,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513591,70.8538709,Closure 2023-2024
1440,Barrage Gate No. 14,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513559,70.8536471,Closure 2023-2024
1441,Barrage Gate No. 15,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513526,70.8534523,Closure 2023-2024
1442,Barrage Gate No. 16,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513505,70.8532529,Closure 2023-2024
1443,Barrage Gate No. 17,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513474,70.8530384,Closure 2023-2024
1444,Barrage Gate No. 18,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513443,70.8528144,Closure 2023-2024
1445,Barrage Gate No. 19,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513418,70.8526005,Closure 2023-2024
1446,Barrage Gate No. 20,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513382,70.8524129,Closure 2023-2024
1447,Barrage Gate No. 21,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.513353,70.8521917,Closure 2023-2024
1448,Barrage Gate No. 22,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513328,70.8519916,Closure 2023-2024
1449,Barrage Gate No. 23,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513293,70.8517811,Closure 2023-2024
1450,Barrage Gate No. 24,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513266,70.8515812,Closure 2023-2024
1451,Barrage Gate No. 25,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513238,70.8513826,Closure 2023-2024
1452,Barrage Gate No. 26,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513208,70.8511492,Closure 2023-2024
1453,Barrage Gate No. 27,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513171,70.8509387,Closure 2023-2024
1454,Barrage Gate No. 28,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Bottom portion of roller guide frame was missing.,Damaged roller guide frame should be addressed.,,Poor,Mechanical,30.513151,70.8507281,Closure 2023-2024
1455,Barrage Gate No. 29,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513125,70.8505105,Closure 2023-2024
1456,Barrage Gate No. 30,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,,,,Satisfactory,Mechanical,30.513094,70.8503193,Closure 2023-2024
1457,Barrage Gate No. 31,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.51306,70.8500887,Closure 2023-2024
1458,Barrage Gate No. 32,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.513041,70.8499131,Closure 2023-2024
1459,Barrage Gate No. 33,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.513007,70.849683,Closure 2023-2024
1460,Barrage Gate No. 34,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.512981,70.8494665,Closure 2023-2024
1461,Barrage Gate No. 35,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.512953,70.8492629,Closure 2023-2024
1462,Barrage Gate No. 36,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.51292,70.8490551,Closure 2023-2024
1463,Barrage Gate No. 37,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.512895,70.8488418,Closure 2023-2024
1464,Barrage Gate No. 38,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.512862,70.848606,Closure 2023-2024
1465,Barrage Gate No. 39,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.512839,70.8484321,Closure 2023-2024
1466,Barrage Gate No. 40,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.512808,70.848203,Closure 2023-2024
1467,Barrage Gate No. 41,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.512777,70.8479759,Closure 2023-2024
1468,Barrage Gate No. 42,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.512745,70.8477864,Closure 2023-2024
1469,Barrage Gate No. 43,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.512721,70.8475822,Closure 2023-2024
1470,Barrage Gate No. 44,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.512686,70.8473724,Closure 2023-2024
1471,Barrage Gate No. 45,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.512656,70.8471631,Closure 2023-2024
1472,Barrage Gate No. 46,Taunsa Headworks Division,Taunsa Canal Circle,D.G Khan,2023-2024,Closure,Oil leakages were observed in gear box.,Oil leakages in the gear box should be addressed.,,Satisfactory,Mechanical,30.512622,70.846937,Closure 2023-2024
